AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,104902,แขวง ทุ่งครุ,,1049,เขต ทุ่งครุ,Thung Khu,10,กรุงเทพมหานคร,Bangkok,13.614,100.497
4,100305,แขวง โคกแฝด,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.84,100.836
4,100508,แขวง ท่าแร้ง,,1005,เขต บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok,13.866,100.65
4,102701,แขวง คลองกุ่ม,,1027,เขต บึงกุ่ม,Bung Kum,10,กรุงเทพมหานคร,Bangkok,13.808,100.65
4,101105,แขวง ทับยาว,,1011,เขต ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.728,100.815
4,101106,แขวง ขุมทอง,,1011,เขต ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.736,100.855
4,103401,แขวง สวนหลวง,,1034,เขต สวนหลวง,Suan Luang,10,กรุงเทพมหานคร,Bangkok,13.726,100.628
4,100303,แขวง คลองสิบ,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.914,100.82
4,103201,แขวง ประเวศ,,1032,เขต ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,13.719,100.664
4,101001,แขวง มีนบุรี,,1010,เขต มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok,13.804,100.723
4,104301,แขวง คันนายาว,,1043,เขต คันนายาว,Khanna Yao,10,กรุงเทพมหานคร,Bangkok,13.821,100.677
4,104601,แขวง สามวาตะวันตก,,1046,เขต คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.889,100.708
4,104401,แขวง สะพานสูง,,1044,เขต สะพานสูง,Saphan Sung,10,กรุงเทพมหานคร,Bangkok,13.761,100.688
4,100308,แขวง ลำต้อยติ่ง,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.781,100.877
4,104802,แขวง ศาลาธรรมสพน์,,1048,เขต ทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,Bangkok,13.783,100.39
4,100307,แขวง ลำผักชี,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.797,100.844
4,103001,แขวง ลาดยาว,,1030,เขต จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,13.826,100.565
4,101104,แขวง ลำปลาทิว,,1011,เขต ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.765,100.817
4,100302,แขวง หนองจอก,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.869,100.885
4,105001,แขวง บางบอน,,1050,เขต บางบอน,Bang Bon,10,กรุงเทพมหานคร,Bangkok,13.646,100.37
4,101002,แขวง แสนแสบ,,1010,เขต มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok,13.812,100.774
4,103602,แขวง สีกัน,,1036,เขต ดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,Bangkok,13.925,100.593
4,100301,แขวง กระทุ่มราย,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.823,100.897
4,104602,แขวง สามวาตะวันออก,,1046,เขต คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,13.896,100.76
4,100304,แขวง คลองสิบสอง,,1003,เขต หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.914,100.88
4,102107,แขวง แสมดำ,,1021,เขต บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok,13.605,100.395
4,102105,แขวง ท่าข้าม,,1021,เขต บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok,13.555,100.434
